QuickSort_Hybrid
Input amount,unsorted
1000,0.002
2000,0.002
4000,0.001
6000,0.002
8000,0.003
10000,0.005
20000,0.007
40000,0.016
60000,0.027
80000,0.039
100000,0.051
200000,0.122
400000,0.284
600000,0.462
800000,0.668
1000000,0.86
2000000,1.994
4000000,4.638
6000000,7.455
8000000,10.829
10000000,14.397
