QuickSort_MidPivot
Input amount,unsorted
1000,0.004
2000,0.002
4000,0.002
6000,0.002
8000,0.002
10000,0.004
20000,0.008
40000,0.019
60000,0.031
80000,0.042
100000,0.057
200000,0.131
400000,0.314
600000,0.517
800000,0.735
1000000,0.942
2000000,2.232
4000000,5.219
6000000,8.616
8000000,12.246
10000000,16.321
