QuickSort_MedianPivot
Input amount,unsorted
1000,0.002
2000,0.001
4000,0.002
6000,0.002
8000,0.002
10000,0.003
20000,0.008
40000,0.017
60000,0.029
80000,0.042
100000,0.053
200000,0.124
400000,0.289
600000,0.476
800000,0.67
1000000,0.881
2000000,1.995
4000000,4.649
6000000,7.496
8000000,10.831
10000000,14.412
