QuickSort_Hybrid
Input amount,unsorted
1000,0.002
2000,0.0
4000,0.001
6000,0.002
8000,0.002
10000,0.003
20000,0.007
40000,0.016
60000,0.027
80000,0.04
100000,0.052
200000,0.12
400000,0.284
600000,0.468
800000,0.673
1000000,0.851
2000000,1.965
4000000,4.558
6000000,7.449
8000000,10.604
10000000,14.001
